,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,Measured,pitzer_25C,pitzer_25C,pitzer_25C,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,pitzer,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,MyAMI,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,csys_mid,Uncertainties,Uncertainties,Uncertainties,Uncertainties,Uncertainties,Uncertainties
23,2014,22.0,33.2,49.75,21.58,1915,2.31,3.81,0.43,,,610.0,75,"2x standard error, pooled specimens",7.63,0.0,25,,,,,898.0,This Study,Orbulina,universa,,kh19,8,7.01309073542863e-07,2.84083212549359e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,550.0,103.0,19.7,6.3,,,This Study,7.491618922118669,898.0,1044.9352552876398,898.0,1044.9352552876403,27.156409286494892,850.4177676577137,20.42582305579131,7.502119091376091,138.73342328245838,1776.266576717542,1915.0,4.01426704348472e-07,898.0,1052.1880766036495,29.57113551045452,849.3561772274829,19.0726872620625,7.528500101641363,142.27010844574932,1772.7298915542508,1915.0,4.469944059929922e-07,898.0,1048.561665945645,28.36377239847471,849.8869724425983,19.749255158926907,7.515309596508727,140.50176586410385,1774.4982341358964,1915.0,4.242105551707321e-07,3.052744120608445e-08,1.442892452576377,103.14535873395074,106.06601717798213,106.06601717798213,37.5,88.67340941288623,40.135777360273686
24,2014,22.0,33.2,50.27,5.03,1925,10.0,12.45,0.84,,,353.0,22,"2x standard error, pooled specimens",8.26,0.0,25,,,,,3908.0,This Study,Orbulina,universa,,kh20,6,9.56986549025582e-07,1.37408548950455e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,591.0,70.0,42.3,17.2,,,This Study,8.121480873682145,3908.0,4809.798450711408,3908.0,4809.798450711409,436.3856146711317,3452.6785482062955,18.935837122572412,8.139531750358731,478.0825432940689,1446.917456705931,1925.0,4.01426704348472e-07,3908.0,4790.303169846953,426.11038598607416,3463.860626613815,18.02898740011069,8.163370363637231,467.8420137659666,1457.1579862340334,1925.0,3.6434156889928854e-07,3908.0,4800.050810279181,431.2480003286029,3458.2695874100555,18.48241226134155,8.151451056997981,472.9622785300178,1452.0377214699822,1925.0,3.828841366238803e-07,7.055843557004168e-09,5.665362531808747,59.689035464073136,26.944387170614956,59.689035464073136,24.367946687644753,62.63980115085591,26.89412963602327
25,2014,22.0,33.1,50.78,10.09,1904,5.04,4.86,0.52,,,1100.0,99,"2x standard error, pooled specimens",8.65,0.02,25,,,,,966.0,This Study,Orbulina,universa,,kh22,6,6.94958946221469e-07,1.00486971994286e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,485.0,56.0,23.6,2.9,,,This Study,8.51142438949339,966.0,2061.366378557492,966.0,2061.3663785574927,231.1455498262945,733.1918109739667,1.6626391997387833,8.524413846926764,850.4919367762965,1053.5080632237036,1904.0,3.999173319683201e-07,966.0,2064.1800915251715,235.31545937581848,729.1319500478807,1.5525905763007806,8.551941001687346,848.814574371971,1055.1854256280292,1904.0,3.908090041313003e-07,966.0,2062.773235041332,233.2305046010565,731.1618805109237,1.607614888019782,8.538177424307055,849.6532555741337,1054.3467444258663,1904.0,3.9536316804981016e-07,2.8961601644514555e-09,5.952238300377486,185.99982722515708,121.2497422677673,185.99982722515708,75.93411149124427,195.1948477788711,83.80606968732464
26,2014,22.0,33.1,51.96,10.2,1965,5.09,10.16,1.35,,,213.0,37,"2x standard error, pooled specimens",7.67,0.01,25,,,,,7993.0,This Study,Orbulina,universa,,kh23,5,7.25140906216369e-07,8.02222153429507e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,630.0,111.0,34.2,4.4,,,This Study,7.5314321636684705,7993.0,8246.014904476231,7993.0,8246.014904476233,256.1013063371571,7576.100676022192,160.79801764065076,7.552429591389068,156.0944782173164,1808.9055217826838,1965.0000000000002,3.999173319683201e-07,7993.0,8250.976707526006,258.4509644812501,7579.7834204016435,154.76561511710526,7.570186976460884,152.6719173619196,1812.3280826380803,1965.0000000000002,3.960778216687943e-07,7993.0,8248.49580600112,257.27613540920356,7577.942048211918,157.781816378878,7.561308283924976,154.383197789618,1810.616802210382,1965.0000000000002,3.979975768185572e-07,2.7459442526703476e-08,6.593549142059798,36.01633018087133,41.36725758374611,41.36725758374611,18.5,51.36423444615928,20.98633780112288
27,2014,22.0,33.3,50.15,5.0,1991,10.03,8.82,0.5,,,250.0,125,"2x standard error, pooled specimens",7.64,0.01,25,,,,,2017.0,This Study,Orbulina,universa,,kh24,6,9.41920198391757e-07,4.485166304579231e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,565.0,100.0,23.6,6.2,,,This Study,7.501584276940463,2017.0,2177.1750380525136,2017.0000000000002,2177.175038052513,57.67881989041333,1915.1740435743018,44.147136535285,7.515490791010227,145.18127219942667,1845.8187278005737,1991.0000000000002,4.029386782139898e-07,2017.0000000000002,2173.4978574223715,56.04259102778824,1918.8976301291111,42.059778843100624,7.53857651266147,141.02846153406998,1849.97153846593,1991.0000000000002,3.650728049079844e-07,2017.0000000000002,2175.3364477374425,56.860705459100785,1917.0358368517063,43.10345768919281,7.527033651835849,143.10486686674832,1847.8951331332519,1991.0000000000002,3.840057415609871e-07,2.9714357775041475e-08,0.7403626991091523,42.27268800571752,153.09310892394862,153.09310892394862,62.5,160.66136478842122,68.97926705920241
28,2014,22.0,33.2,51.96,22.0,1895,2.36,3.42,0.82,,,587.0,38,"2x standard error, pooled specimens",8.27,0.0,25,,,,,2000.0,This Study,Orbulina,universa,,kh25,6,9.78808378399463e-07,6.43210381417133e-09,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have 5 x boron -> beware the alkalinities,524.0,35.0,30.8,3.7,,,This Study,8.131634021631417,2000.0,2731.9393072110056,2000.0,2731.939307211005,247.93501346116616,1742.5971345334926,9.467852005341042,8.146336754568145,486.82161832854285,1408.1783816714571,1895.0,4.01426704348472e-07,2000.0,2766.3177786382244,270.28967499720983,1720.9398766421696,8.770448360620657,8.172590041589059,498.2728082687766,1396.7271917312232,1895.0,4.5800895754636773e-07,2000.0,2749.1285429246145,259.112344229188,1731.768505587831,9.11915018298085,8.159463398078602,492.5472132986597,1402.4527867013403,1895.0,4.297178309474199e-07,6.9268630591327654e-09,13.265615626128493,99.25627143742473,46.54030511288038,99.25627143742473,40.52120313214581,104.1630687692703,44.7219662785996
29,2013,22.0,33.3,51.2,9.87,2179,5.19,6.77,1.47,,,396.0,9,"2x standard error, pooled specimens",8.08,0.01,25,,,4664.0,10.0,,This Study,Orbulina,universa,,high DIC,3,6.75e-07,1.55e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,27.0,7.0,,,This Study,7.941633489992302,3982.898000841702,4664.0,3982.898000841702,4664.000000000001,313.86528239876066,3638.7648042836927,30.26791415924863,7.958556829858334,393.3165658182731,1785.6834341817269,2179.0,4.029386782139898e-07,3980.9101736217685,4664.0,318.17825271729345,3634.0840907495212,28.647830154953738,7.9827187235086505,389.32814922035396,1789.671850779646,2179.0,3.943154786360229e-07,3981.9040872317355,4664.0,316.021767558027,3636.424447516607,29.457872157101185,7.970637776683493,391.3223575193135,1787.6776424806865,2179.0,3.9862707842500636e-07,1.0699468963959702e-08,7.824693841977743,66.95993780105655,7.794228634059947,66.95993780105655,38.6593381143606,166.33770667431662,50.70475571608581
30,2013,22.0,33.3,51.2,9.87,790,5.19,4.66,2.04,,,231.0,34,"2x standard error, pooled specimens",8.05,0.01,25,,,1230.0,,,This Study,Orbulina,universa,,low DIC,3,4.03e-07,4.7e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,12.4,2.6,,,This Study,7.911633514474482,1024.454975820355,1230.0,1024.454975820355,1230.0000000000002,75.5610377561498,940.4941720586714,8.399766005533817,7.927693242610514,134.48441217959999,655.5155878203999,790.0,4.029386782139898e-07,1023.8669111678569,1229.9999999999998,76.76250258467533,939.1736459683118,7.930762614869824,7.9528464309870035,133.35281613295746,656.6471838670425,790.0,3.943154786360229e-07,1024.160943494106,1230.0,76.16177017041257,939.8339090134916,8.16526431020182,7.940269836798759,133.91861415627872,656.0813858437211,790.0,3.9862707842500636e-07,1.1474404697453467e-08,1.8857641948259978,39.05996371728299,29.444863728670914,39.05996371728299,22.55128056671035,97.03032889335137,29.577774167716726
31,2013,22.0,33.3,51.2,9.87,2179,5.19,5.3,1.1,,,708.0,142,"2x standard error, pooled specimens",8.54,0.01,25,,,3408.0,5.0,,This Study,Orbulina,universa,,high pH,3,6.35e-07,1.48e-07,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,29.3,5.0,,,This Study,8.401633489992301,2133.5609503134197,3408.0,2133.5609503134197,3408.0,422.77385777070765,1705.8486424847224,4.938450057989728,8.416935166166647,844.5417169922914,1334.4582830077086,2179.0,4.029386782139898e-07,2131.2351487884016,3408.000000000001,428.88153062904985,1697.715256165353,4.638361993998898,8.442915696163801,840.2860570310702,1338.7139429689298,2179.0,3.943154786360229e-07,2132.3980495509104,3408.0000000000005,425.82769419987875,1701.7819493250377,4.788406025994313,8.429925431165223,842.4138870116808,1336.5861129883192,2179.0,3.9862707842500636e-07,3.7159902757697794e-09,10.543486805659885,119.71625243219202,122.97560733739029,122.97560733739029,71.0,305.4883438237005,93.1220717021227
32,2013,22.0,33.3,51.2,9.87,2179,5.19,5.45,2.96,,,377.0,39,"2x standard error, pooled specimens",7.6,0.01,25,,,2054.0,,,This Study,Orbulina,universa,,low pH,2,5.565e-07,9.95e-08,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,,,16.0,5.0,,,This Study,7.461633489992302,1900.2402346755125,2054.0,1900.2402346755125,2053.9999999999995,51.0917776138321,1803.4726819596556,45.67577510202485,7.47500898043901,146.9988284207772,2032.0011715792225,2179.0,4.029386782139898e-07,1899.1924839112012,2054.0,51.779553220835986,1804.0316577945678,43.38127289579739,7.49835734774909,145.05111037621046,2033.9488896237895,2179.0,3.943154786360229e-07,1899.7163592933568,2054.0,51.43566541733404,1803.7521698771116,44.52852399891112,7.48668316409405,146.02496939849382,2032.975030601506,2179.0,3.9862707842500636e-07,3.2607449917255e-08,1.2735462419535424,63.74721351262202,27.577164466275356,63.74721351262202,45.07608695652174,572.7459895867815,81.99309778885157
33,2013,21.9,33.1,28.2,18.5,367,1.52,2.5,0.04,,,90.0,6,2x longterm RSD of analysis method,7.85,0.03,25,,,1069.0,11.0,,Haynes et al. (2017),Orbulina,universa,,LH3a,3,1.58489319246111e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,812.0,21.0,,,108.0,14.0,Haynes et al. (2017),7.711363918471802,993.2792027400848,1069.0,993.2792027400848,1069.0,45.54714539102683,934.0798352115381,13.652222137519756,7.7327468473336065,41.423864990980256,325.57613500901977,367.0,3.999781077304382e-07,996.7022298509625,1069.0000000000002,42.59104841022129,941.4986411749045,12.612540265836563,7.753887696268209,40.46680989880211,326.5331901011979,367.0,3.4371594462804975e-07,994.9907162955236,1069.0,44.06909690062406,937.7892381932213,13.13238120167816,7.743317271800908,40.94533744489118,326.05466255510885,367.0,3.7184702617924397e-07,1.8058543855360012e-08,2.192509917421125,15.218167682058308,3.0,15.218167682058308,8.786213207809228,37.80402424416287,11.523808117292232
34,2013,21.9,33.1,28.2,18.5,367,1.52,,,,,85.0,6,2x longterm RSD of analysis method,7.85,0.03,25,,,1069.0,11.0,,Haynes et al. (2017),Orbulina,universa,,LH3b,15,2.5118864315095803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,534.0,60.0,,,28.0,11.0,Haynes et al. (2017),7.711363918471802,993.2792027400848,1069.0,993.2792027400848,1069.0,45.54714539102683,934.0798352115381,13.652222137519756,7.7327468473336065,41.423864990980256,325.57613500901977,367.0,3.999781077304382e-07,996.7022298509625,1069.0000000000002,42.59104841022129,941.4986411749045,12.612540265836563,7.753887696268209,40.46680989880211,326.5331901011979,367.0,3.4371594462804975e-07,994.9907162955236,1069.0,44.06909690062406,937.7892381932213,13.13238120167816,7.743317271800908,40.94533744489118,326.05466255510885,367.0,3.7184702617924397e-07,1.8058543855360012e-08,2.192509917421125,14.372713921943957,3.0,14.372713921943957,3.711018777299495,7.959343672161709,3.826257584783071
35,2013,21.6,33.1,28.2,18.9,361,1.49,3.26,0.05,,,44.0,3,2x longterm RSD of analysis method,7.93,0.02,25,,,2197.0,7.0,,Haynes et al. (2017),Orbulina,universa,,LH2,15,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,564.0,51.0,,,46.0,15.0,Haynes et al. (2017),7.791367607818216,2055.435901228046,2197.0,2055.435901228046,2197.0,113.41968573710419,1918.862860676633,23.153354814308823,7.818370937533402,48.43234083067599,312.567659169324,361.0,4.001573861745262e-07,2062.9673646651504,2197.0000000000005,106.13190852727872,1935.4262816858338,21.40917445203773,7.839741760491714,47.10710418140442,313.8928958185956,361.0,3.4595674726303784e-07,2059.2016329465982,2197.0,109.77579713219146,1927.1445711812335,22.281264633173276,7.829056349012558,47.7697225060402,313.23027749395976,361.0,3.73057066718782e-07,1.4823257432801833e-08,5.561515250326075,7.4399930890062835,1.5,7.4399930890062835,1.9209979553079741,4.120130842060179,1.980650985064178
36,2013,21.6,33.1,28.2,18.9,361,1.49,2.93,0.05,,,53.0,4,2x longterm RSD of analysis method,7.93,0.02,25,,,2197.0,7.0,,Haynes et al. (2017),Orbulina,universa,,LH2,15,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,564.0,51.0,,,46.0,15.0,Haynes et al. (2017),7.791367607818216,2055.435901228046,2197.0,2055.435901228046,2197.0,113.41968573710419,1918.862860676633,23.153354814308823,7.818370937533402,48.43234083067599,312.567659169324,361.0,4.001573861745262e-07,2062.9673646651504,2197.0000000000005,106.13190852727872,1935.4262816858338,21.40917445203773,7.839741760491714,47.10710418140442,313.8928958185956,361.0,3.4595674726303784e-07,2059.2016329465982,2197.0,109.77579713219146,1927.1445711812335,22.281264633173276,7.829056349012558,47.7697225060402,313.23027749395976,361.0,3.73057066718782e-07,1.4823257432801833e-08,5.561515250326075,8.961809857212113,2.0,8.961809857212113,2.3139293552573323,4.9628848779361245,2.3857841411000322
37,2013,21.9,33.2,28.8,18.6,367,1.55,3.77,0.06,,,50.0,3,2x longterm RSD of analysis method,7.88,0.02,25,,,3143.0,15.0,,Haynes et al. (2017),Orbulina,universa,,LH4,14,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,562.0,85.0,,,53.0,23.0,Haynes et al. (2017),7.741472723925361,2985.0015253147676,3143.0,2985.0015253147676,3143.0000000000005,148.5818961673693,2798.6969950730145,37.722634074383265,7.766951848821278,44.52901217594598,322.470987824054,367.0,4.0148707149974567e-07,2994.253920381675,3142.999999999999,138.58474449744858,2820.5436507129825,35.12552517124418,7.7852017474791415,43.2740904733489,323.7259095266511,367.0,3.4789947743552967e-07,2989.6277228482213,3143.0,143.58332033240896,2809.6203228929985,36.42407962281372,7.77607679815021,43.90155132464744,323.09844867535253,367.0,3.7469327446763767e-07,1.6746467149023688e-08,7.127562569617115,8.454537601143503,1.5,8.454537601143503,2.259570219076902,4.881504678366483,2.336340838913779
38,2013,21.9,33.2,28.8,18.6,367,1.55,3.57,0.06,,,50.0,3,2x longterm RSD of analysis method,7.88,0.02,25,,,3143.0,15.0,,Haynes et al. (2017),Orbulina,universa,,LH4,14,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,562.0,85.0,,,53.0,23.0,Haynes et al. (2017),7.741472723925361,2985.0015253147676,3143.0,2985.0015253147676,3143.0000000000005,148.5818961673693,2798.6969950730145,37.722634074383265,7.766951848821278,44.52901217594598,322.470987824054,367.0,4.0148707149974567e-07,2994.253920381675,3142.999999999999,138.58474449744858,2820.5436507129825,35.12552517124418,7.7852017474791415,43.2740904733489,323.7259095266511,367.0,3.4789947743552967e-07,2989.6277228482213,3143.0,143.58332033240896,2809.6203228929985,36.42407962281372,7.77607679815021,43.90155132464744,323.09844867535253,367.0,3.7469327446763767e-07,1.6746467149023688e-08,7.127562569617115,8.454537601143503,1.5,8.454537601143503,2.259570219076902,4.881504678366483,2.336340838913779
39,2013,21.6,33.2,27.9,18.2,359,1.53,4.24,0.07,,,36.0,2,2x longterm RSD of analysis method,7.9,0.03,25,,,4181.0,20.0,,Haynes et al. (2017),Orbulina,universa,,LH5,15,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,581.0,60.0,,,67.0,23.0,Haynes et al. (2017),7.7614634293605125,3974.7742745926244,4181.0,3974.7742745926244,4180.999999999999,205.82184878281217,3721.121903474001,47.83052233581065,7.790416435163773,45.55078590880464,313.44921409119536,359.0,4.016651181630872e-07,3989.3410923828837,4181.0,190.06334947568416,3754.8223579899604,44.45538491723903,7.8098393614459765,44.00080346477929,314.99919653522073,359.0,3.4246048224997743e-07,3982.057683487754,4181.0,197.94259912924815,3737.9721307319805,46.14295362652484,7.800127898304875,44.77579468679197,314.224205313208,359.0,3.720628002065323e-07,1.584426515318999e-08,9.68265384809375,6.087267072823323,1.0,6.087267072823323,1.5717255997974333,3.371016143503783,1.6205326241434181
40,2013,21.6,33.2,27.9,18.2,359,1.53,4.35,0.07,,,45.0,3,2x longterm RSD of analysis method,7.9,0.03,25,,,4181.0,20.0,,Haynes et al. (2017),Orbulina,universa,,LH5,15,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,581.0,60.0,,,67.0,23.0,Haynes et al. (2017),7.7614634293605125,3974.7742745926244,4181.0,3974.7742745926244,4180.999999999999,205.82184878281217,3721.121903474001,47.83052233581065,7.790416435163773,45.55078590880464,313.44921409119536,359.0,4.016651181630872e-07,3989.3410923828837,4181.0,190.06334947568416,3754.8223579899604,44.45538491723903,7.8098393614459765,44.00080346477929,314.99919653522073,359.0,3.4246048224997743e-07,3982.057683487754,4181.0,197.94259912924815,3737.9721307319805,46.14295362652484,7.800127898304875,44.77579468679197,314.224205313208,359.0,3.720628002065323e-07,1.584426515318999e-08,9.68265384809375,7.609083841029154,1.5,7.609083841029154,1.9646569997467918,4.213770179379729,2.025665780179273
41,2013,21.6,33.2,27.9,18.2,359,1.53,3.9,0.06,,,45.0,3,2x longterm RSD of analysis method,7.9,0.03,25,,,4181.0,20.0,,Haynes et al. (2017),Orbulina,universa,,LH5,15,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",have < boron -> beware the alkalinities,581.0,60.0,,,67.0,23.0,Haynes et al. (2017),7.7614634293605125,3974.7742745926244,4181.0,3974.7742745926244,4180.999999999999,205.82184878281217,3721.121903474001,47.83052233581065,7.790416435163773,45.55078590880464,313.44921409119536,359.0,4.016651181630872e-07,3989.3410923828837,4181.0,190.06334947568416,3754.8223579899604,44.45538491723903,7.8098393614459765,44.00080346477929,314.99919653522073,359.0,3.4246048224997743e-07,3982.057683487754,4181.0,197.94259912924815,3737.9721307319805,46.14295362652484,7.800127898304875,44.77579468679197,314.224205313208,359.0,3.720628002065323e-07,1.584426515318999e-08,9.68265384809375,7.609083841029154,1.5,7.609083841029154,1.9646569997467918,4.213770179379729,2.025665780179273
42,2015,25.9,37.5,54.0,20.8,446,2.6,4.88,0.08,,,63.0,4,2x longterm RSD of analysis method,8.17,0.02,25,,,2404.0,9.0,,Haynes et al. (2017),Orbulina,universa,,KD1,7,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,627.0,24.0,,,70.0,17.0,Haynes et al. (2017),8.036339504465646,2063.941325920883,2404.0,2063.941325920883,2404.0,244.48561943272014,1807.9904673428418,11.465239145320888,8.02921501712756,99.60827896823866,346.39172103176134,446.0,4.670343334025994e-07,2051.748994788181,2403.9999999999995,254.26253214007608,1785.9810648385521,11.505397809552703,8.022569121162006,102.2757489642901,343.7242510357099,446.0,5.363619763861758e-07,2057.845160354532,2404.0,249.37407578639812,1796.9857660906969,11.485318477436795,8.025892069144783,100.94201396626438,345.05798603373563,446.0,5.016981548943876e-07,9.42123703993914e-09,10.338847623326405,10.652717377440815,2.0,10.652717377440815,4.026348709680655,9.852120365084689,4.364464076976116
43,2015,25.9,37.5,54.0,20.8,446,2.6,5.38,0.09,,,76.0,5,2x longterm RSD of analysis method,8.17,0.02,25,,,2404.0,9.0,,Haynes et al. (2017),Orbulina,universa,,KD1,7,3.981071705534971e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,566.0,27.0,,,55.0,12.0,Haynes et al. (2017),8.036339504465646,2063.941325920883,2404.0,2063.941325920883,2404.0,244.48561943272014,1807.9904673428418,11.465239145320888,8.02921501712756,99.60827896823866,346.39172103176134,446.0,4.670343334025994e-07,2051.748994788181,2403.9999999999995,254.26253214007608,1785.9810648385521,11.505397809552703,8.022569121162006,102.2757489642901,343.7242510357099,446.0,5.363619763861758e-07,2057.845160354532,2404.0,249.37407578639812,1796.9857660906969,11.485318477436795,8.025892069144783,100.94201396626438,345.05798603373563,446.0,5.016981548943876e-07,9.42123703993914e-09,10.338847623326405,12.850897153738126,2.5,12.850897153738126,4.857182570408408,11.885097583276766,5.265067775399758
44,2015,25.9,37.1,54.3,15.8,441,3.44,6.2,0.1,,,79.0,5,2x longterm RSD of analysis method,8.17,0.02,25,,,2393.0,8.0,,Haynes et al. (2017),Orbulina,universa,,KD2,6,3.981071705534971e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,635.0,23.0,,,79.0,24.0,Haynes et al. (2017),8.035844343900209,2063.5949702659973,2393.0,2063.5949702659973,2393.0,236.25637632678655,1815.8027302723456,11.535863666865074,8.028739666859071,97.38889066938779,343.61110933061224,441.0,4.604252199981729e-07,2057.4659622083586,2393.0,241.1605180612779,1804.636325239378,11.669118907702769,8.022151381535396,98.81534061130301,342.184659388697,441.0,5.003197239698436e-07,2060.530466237178,2393.0,238.70844719403223,1810.2195277558617,11.602491287283922,8.025445524197234,98.1021156403454,342.89788435965465,441.0,4.803724719840082e-07,9.43092901060575e-09,7.851393836304732,13.358169409806736,2.5,13.358169409806736,5.453449825280271,14.018539067755288,6.018799550271497
45,2015,25.9,37.1,54.3,15.8,441,3.44,6.56,0.1,,,83.0,5,2x longterm RSD of analysis method,8.17,0.02,25,,,2393.0,8.0,,Haynes et al. (2017),Orbulina,universa,,KD2,7,3.981071705534971e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,562.0,34.0,,,58.0,16.0,Haynes et al. (2017),8.035844343900209,2063.5949702659973,2393.0,2063.5949702659973,2393.0,236.25637632678655,1815.8027302723456,11.535863666865074,8.028739666859071,97.38889066938779,343.61110933061224,441.0,4.604252199981729e-07,2057.4659622083586,2393.0,241.1605180612779,1804.636325239378,11.669118907702769,8.022151381535396,98.81534061130301,342.184659388697,441.0,5.003197239698436e-07,2060.530466237178,2393.0,238.70844719403223,1810.2195277558617,11.602491287283922,8.025445524197234,98.1021156403454,342.89788435965465,441.0,4.803724719840082e-07,9.43092901060575e-09,7.851393836304732,14.034532417898216,2.5,14.034532417898216,5.3045546492618145,12.97977762384173,5.750008228397104
46,2015,25.9,36.5,54.3,10.8,434,5.03,7.64,0.12,,,70.0,5,2x longterm RSD of analysis method,8.21,0.0,25,,,2377.0,5.0,,Haynes et al. (2017),Orbulina,universa,,BH6,6,3.1622776601683803e-09,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",,636.0,24.0,,,57.0,13.0,Haynes et al. (2017),8.075125385552154,2035.4750279893726,2377.0,2035.4750279893726,2377.0000000000005,242.6801298327344,1782.4154132122294,10.379484944408805,8.068003329969747,101.40412496693199,332.59587503306795,434.0,4.50613610712877e-07,2035.546906397501,2377.0,242.432451125499,1782.540440692168,10.574014579834019,8.0614649361116,101.71746745197069,332.28253254802934,434.0,4.604464914263374e-07,2035.510967193437,2377.0,242.55629047911668,1782.4779269521987,10.476749762121411,8.064734133040673,101.56079620945134,332.4392037905486,434.0,4.5553005106960724e-07,8.615209978252444e-09,5.750680840975234,11.836352641600905,2.5,11.836352641600905,4.832170731260999,12.421490313200888,5.333113525557022
