Year,Temp,Salinity,[Mg]sw,[Ca]sw,[B]sw,Mg/Casw,Mg/Caf,Mg/Caf_err,B/CaCAM,B/CaCAM_err,B/Caf,B/Caf_err,err_type,pHNBS,pHNBS_std,pH_temp,pHTOTAL,pHTOTAL_std,Alk,Alk_std,DIC,Reference,Genus,Species,Type,Sample ID,numberforams,GrowthRate_molm-2s-1,GrowthRate_err,Cleaning Procedure,Notes,size um,size um sd,test thickness um,test thickness um sd,weight ug,weight ug sd,
2015,25.87,37.3,55.2,20.8,428,2.65,,,,,127,8,2x longterm RSD of analysis method,8.18,0.03,25,,,2395,4,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 5SB,9,,,,,663,80,,,63,3,
2015,26.05,35.8,54.5,10.8,219,5.05,,,,,56,4,2x longterm RSD of analysis method,8.03,0.04,25,,,2157,17,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 6S,10,,,,,653,44,,,48,2,
2015,26.05,35.9,54.7,10.9,833,5.02,,,,,292,19,2x longterm RSD of analysis method,8.08,0.02,25,,,2307,28,,Haynes et al. (2019),Trilobatus,sacculifer,,LH 8S,6,,,,,696,26,,,55,1,
2015,26,36,31,20.8,387,1.49,,,,,214,14,2x longterm RSD of analysis method,7.84,0.03,25,,,2076,12,,Haynes et al. (2019),Globigerina,ruber,pink,LH 11R,27,,,,,496,128,,,11,1,
2015,26,36,30.8,20.8,383,1.48,,,,,216,14,2x longterm RSD of analysis method,8.03,0.06,25,,,2158,19,,Haynes et al. (2019),Globigerina,ruber,pink,LH 1R,17,,,,,487,42,,,10,1,
2015,26,36,31.1,20.8,388,1.5,,,,,257,17,2x longterm RSD of analysis method,8.28,0.03,25,,,2310,18,,Haynes et al. (2019),Globigerina,ruber,pink,LH 9R,15,,,,,432,91,,,14,2,
2015,25.87,37.3,55.2,20.8,428,2.65,,,,,161,11,2x longterm RSD of analysis method,8.18,0.03,25,,,2395,4,,Haynes et al. (2019),Globigerina,ruber,pink,LH 5RA,11,,,,,636,30,,,31,1,
2015,26.05,35.8,54.2,10.8,218,5.02,,,,,113,7,2x longterm RSD of analysis method,8.04,0.05,25,,,2156,15,,Haynes et al. (2019),Globigerina,ruber,pink,LH 6R,25,,,,,464,101,,,15,1,
2015,26.05,35.9,54.7,10.9,833,5.02,,,,,480,32,2x longterm RSD of analysis method,8.08,0.02,25,,,2307,28,,Haynes et al. (2019),Globigerina,ruber,pink,LH 8R,20,,,,,522,47,,,16,1,
2012,23,38,57.22,11.07,4517,5.16,,,,,1270,600,2x standard errors,,,23,8.05,0.02,2567,11,,Howes et al. (2017),Orbulina,universa,,,9,,,"treatments of diluted NaOCl (1:3, with active chlorine 4.6%), for 6 hours,, followed by multiple rinses with nanopure water, dried at 50degrees C",,,,,,,,
2012,23,38,57.22,11.07,4517,5.16,,,,,1490,580,2x standard errors,,,23,8.05,0.05,3050,27,,Howes et al. (2017),Orbulina,universa,,,11,,,"treatments of diluted NaOCl (1:3, with active chlorine 4.6%), for 6 hours,, followed by multiple rinses with nanopure water, dried at 50degrees C",,,,,,,,
2012,23,38,57.22,11.07,4517,5.16,,,,,770,300,2x standard errors,,,23,8.05,0.03,5594,38,,Howes et al. (2017),Orbulina,universa,,,12,,,"treatments of diluted NaOCl (1:3, with active chlorine 4.6%), for 6 hours,, followed by multiple rinses with nanopure water, dried at 50degrees C",,,,,,,,
2012,23,38,57.22,11.07,4517,5.16,,,,,920,490,2x standard errors,,,23,7.9,0.02,4153,154,,Howes et al. (2017),Orbulina,universa,,,18,,,"treatments of diluted NaOCl (1:3, with active chlorine 4.6%), for 6 hours,, followed by multiple rinses with nanopure water, dried at 50degrees C",,,,,,,,
2012,23,38,57.22,11.07,4517,5.16,,,,,690,370,2x standard errors,,,23,7.7,0.03,5362,23,,Howes et al. (2017),Orbulina,universa,,,15,,,"treatments of diluted NaOCl (1:3, with active chlorine 4.6%), for 6 hours,, followed by multiple rinses with nanopure water, dried at 50degrees C",,,,,,,,
2008,17.7,33.1,49.84,9.65,393,5.16,,,61,2,66.6116347203073,2,2x longterm RSD of analysis method,,,18,8.09,0.03,2264,21,,Allen et al. (2011),Orbulina,universa,,1,13,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,421.9,101.7,14,0,27,24.7,1
2008,19.6,33.06,49.77,9.63,393,5.16,,,63,2,68.6173937259038,2,2x longterm RSD of analysis method,,,20,8.03,0.01,2263,5,,Allen et al. (2011),Orbulina,universa,,2,15,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,459.5,65,14.3,6.3,23.5,6.8,3
2008,22.3,33.3,50.14,9.7,396,5.16,10.2,0.29,61,2,66.9716564154432,2,2x longterm RSD of analysis method,,,22,8,0.02,2257,5,,Allen et al. (2011),Orbulina,universa,,3a,5,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,574.8,86.2,16.4,0.5,51.2,34,2
2008,22.3,33.3,50.14,9.7,396,5.16,8.95,0.25,62,2,67.9162298312944,2,2x longterm RSD of analysis method,,,22,8,0.02,2257,5,,Allen et al. (2011),Orbulina,universa,,3b,5,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,574.8,86.2,16.4,0.5,51.2,34,
2008,26.5,33,49.69,9.62,392,5.16,,,65,2,70.7652325523879,2,2x longterm RSD of analysis method,,,27,7.94,0.1,2248,10,,Allen et al. (2011),Orbulina,universa,,4,9,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,461.1,46.2,11.5,0,23,7.5,1
2008,22.1,33.3,50.14,9.7,396,5.16,8.59,0.24,56,1,60.8730495198771,1,2x longterm RSD of analysis method,,,22,7.59,0.02,2080,2,,Allen et al. (2011),Orbulina,universa,,5,11,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,467.5,89.2,14.5,0.7,24.6,22.1,2
2008,22.1,33.3,50.14,9.7,396,5.16,6.77,0.19,69,2,75.7608550806527,2,2x longterm RSD of analysis method,,,22,8.27,0.02,2443,4,,Allen et al. (2011),Orbulina,universa,,6,10,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,535.9,95.6,16.4,4.5,41.6,25.3,
2008,22.1,33.3,50.14,9.7,396,5.16,4.67,0.13,92,2,100.747425857856,2,2x longterm RSD of analysis method,,,22,8.63,0.03,2825,7,,Allen et al. (2011),Orbulina,universa,,7,9,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,498.3,49.6,27.3,5,33.6,7.3,3
2008,22.1,29.9,45.02,8.71,355,5.16,,,55,1,60.3485477357377,1,2x longterm RSD of analysis method,,,22,8.03,0.03,2058,9,,Allen et al. (2011),Orbulina,universa,,8a,9,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,537.4,102.7,15.5,4.9,39.9,31,2
2008,22.1,29.9,45.02,8.71,355,5.16,,,53,1,57.7874349388816,1,2x longterm RSD of analysis method,,,22,8.03,0.03,2058,9,,Allen et al. (2011),Orbulina,universa,,8b,9,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,537.4,102.7,15.5,4.9,39.9,31,2
2008,22.3,31.5,47.43,9.18,374,5.16,,,66,2,72.3459145917234,2,2x longterm RSD of analysis method,,,22,7.99,0.05,2173,13,,Allen et al. (2011),Orbulina,universa,,9a,7,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,550.1,121.8,18.5,0,47.4,40.2,1
2008,22.3,31.5,47.43,9.18,374,5.16,,,65,2,70.7634271440193,2,2x longterm RSD of analysis method,,,22,7.99,0.05,2173,13,,Allen et al. (2011),Orbulina,universa,,9b,6,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,550.1,121.8,18.5,0,47.4,40.2,1
2008,22.3,35.4,53.3,10.32,421,5.16,,,71,2,78.0527606260522,2,2x longterm RSD of analysis method,,,22,7.98,0.03,2396,1,,Allen et al. (2011),Orbulina,universa,,10,11,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,449.5,43.7,12.5,2.8,22.5,12.7,2
2008,22.3,32.7,49.24,9.53,1834,5.16,,,404,11,442.161,11,2x longterm RSD of analysis method,,,22,7.96,0.04,2485,5,,Allen et al. (2011),Orbulina,universa,,11,12,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,533.2,50.3,10.2,2.5,37.8,9.2,2
2008,22.3,33.5,50.44,9.76,3739,5.16,,,899,23,984.624,23,2x longterm RSD of analysis method,,,22,8,0.03,2915,8,,Allen et al. (2011),Orbulina,universa,,12,11,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",B/Ca adjusted for the Cambridge offset (9.5%) for samples measured using '2005' standard -- see Kerr et al. (2017) Supplementary Material #4,473.1,25.1,27.5,2.1,35.1,6.2,2
2010,24.01,35.6,53.6,10.37,423,5.16,,,,,93,5,2x longterm RSD of analysis method,,,24,8.04,0.03,2344,14,,Allen et al. (2012),Trilobatus,sacculifer,,2,18,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low temperature,635.4,78.7,,,51.6,12,
2010,25.7,35.4,53.3,10.32,421,5.16,,,,,96,5,2x longterm RSD of analysis method,,,26,8.04,0.06,2342,18,,Allen et al. (2012),Trilobatus,sacculifer,,1a,21,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",ambient,740.9,71.8,,,63.6,8.9,
2010,25.7,35.4,53.3,10.32,421,5.16,,,,,90,5,2x longterm RSD of analysis method,,,26,8.04,0.06,2342,18,,Allen et al. (2012),Trilobatus,sacculifer,,1b,21,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",ambient,740.9,71.8,,,63.6,8.9,
2010,29.33,35.2,53,10.26,418,5.16,,,,,94,5,2x longterm RSD of analysis method,,,29,7.98,0.04,2347,4,,Allen et al. (2012),Trilobatus,sacculifer,,4,10,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high temperature,626.8,98.3,,,52.3,13.8,
2010,25.66,33,49.69,9.62,392,5.16,,,,,85,5,2x longterm RSD of analysis method,,,26,7.99,0.12,2183,26,,Allen et al. (2012),Trilobatus,sacculifer,,5,7,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low salinity ,670.3,43.6,,,58.4,7.3,
2010,25.28,40,60.23,11.66,475,5.16,,,,,120,7,2x longterm RSD of analysis method,,,25,8.04,0.02,2609,41,,Allen et al. (2012),Trilobatus,sacculifer,,7,15,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high salinity,665.2,108.2,,,48.3,11.7,
2010,25.74,35.4,53.3,10.32,421,5.16,,,,,142,8,2x longterm RSD of analysis method,,,26,7.93,0.1,1324,29,,Allen et al. (2012),Trilobatus,sacculifer,,8,3,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low DIC,675.7,7.6,,,38.7,4.7,
2010,25.57,35.4,53.3,10.32,421,5.16,,,,,73,4,2x longterm RSD of analysis method,,,26,8.07,0.02,4757,89,,Allen et al. (2012),Trilobatus,sacculifer,,9,16,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high DIC,719.6,62.7,,,79.9,17.8,
2010,25.74,35.52,53.48,10.35,422,5.16,,,,,85,5,2x longterm RSD of analysis method,,,26,7.49,0.05,2061,15,,Allen et al. (2012),Trilobatus,sacculifer,,12a,12,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low pH,714.4,86.8,,,53,12.1,
2010,25.74,35.52,53.48,10.35,422,5.16,,,,,88,5,2x longterm RSD of analysis method,,,26,7.49,0.05,2061,15,,Allen et al. (2012),Trilobatus,sacculifer,,12b,13,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low pH,714.4,86.8,,,53,12.1,
2010,25.72,35.48,53.43,10.34,422,5.16,,,,,146,8,2x longterm RSD of analysis method,,,26,8.45,0.03,2755,21,,Allen et al. (2012),Trilobatus,sacculifer,,13a,9,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high pH,753.7,74,,,74.6,15.1,
2010,25.72,35.48,53.43,10.34,422,5.16,,,,,129,7,2x longterm RSD of analysis method,,,26,8.45,0.03,2755,21,,Allen et al. (2012),Trilobatus,sacculifer,,13b,9,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high pH,753.7,74,,,74.6,15.1,
2010,25.72,35.48,53.43,10.34,422,5.16,,,,,94,5,2x longterm RSD of analysis method,,,26,8.45,0.04,2755,21,,Allen et al. (2012),Trilobatus,sacculifer,,13c,9,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.","high pH, final chamber",753.7,74,,,74.6,15.1,
2010,24.01,35.6,53.6,10.37,423,5.16,,,,,128,7,2x longterm RSD of analysis method,,,24,8.04,0.03,2344,28,,Allen et al. (2012),Globigerinoides,ruber,pink,2,39,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low temperature,525.7,94.3,,,21.4,7.1,
2010,25.7,35.4,53.3,10.32,421,5.16,,,,,143,8,2x longterm RSD of analysis method,,,26,8.04,0.01,2342,36,,Allen et al. (2012),Globigerinoides,ruber,pink,1,24,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",ambient,509.8,65.4,,,19.3,8.8,
2010,29.33,35.2,53,10.26,418,5.16,,,,,140,8,2x longterm RSD of analysis method,,,29,7.98,0.04,2347,9,,Allen et al. (2012),Globigerinoides,ruber,pink,4,31,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high temperature,478,58.5,,,23.5,6.4,
2010,25.66,33,49.69,9.62,392,5.16,,,,,122,7,2x longterm RSD of analysis method,,,26,7.99,0.12,2183,26,,Allen et al. (2012),Globigerinoides,ruber,pink,5,14,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low salinity,490,74.7,,,21.1,6.5,
2010,25.28,40,60.23,11.66,475,5.16,,,,,154,9,2x longterm RSD of analysis method,,,25,8.04,0.02,2609,41,,Allen et al. (2012),Globigerinoides,ruber,pink,7,19,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high salinity,490.7,67.2,,,20.1,9.2,
2010,25.74,35.52,53.48,10.35,422,5.16,,,,,135,7,2x longterm RSD of analysis method,,,26,7.49,0.05,2061,15,,Allen et al. (2012),Globigerinoides,ruber,pink,12,18,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",low pH,527.2,77.8,,,21.5,11.3,
2010,25.72,35.48,53.43,10.34,422,5.16,,,,,214,12,2x longterm RSD of analysis method,,,26,8.45,0.03,2755,21,,Allen et al. (2012),Globigerinoides,ruber,pink,13,14,,,"treatments of buffered peroxide, made up from one part 30% H2O2 and one part 0.1N NaOH, in a 80°C water bath for 30 minutes, followed by multiple rinses with nanopure water.",high pH,428.8,54.4,,,15.1,4,
2015,26,37.2,56.01,10.84,442,5.16,,,,,190,13,Uncertainty on culture B/Ca is estimated as a quadratic addition of 5% errors in culture and control measurements,,,26,8.18,0.007,2258,,,Henehan et al. (2015),Globigerinoides,ruber,white,,57,,,3 × 20–30 min treatments of 250–400 μL (depending on sample size) 1% H2O2 in 0.1 M NH4OH at 80°C,"study does not publish alk / dic, only CO3; 13 h light:11 h dark",,,,,,,
2015,26,37.2,56.01,10.84,442,5.16,,,,,156,11,Uncertainty on culture B/Ca is estimated as a quadratic addition of 5% errors in culture and control measurements,,,26,7.9,0.013,2083,,,Henehan et al. (2015),Globigerinoides,ruber,white,,64,,,3 × 20–30 min treatments of 250–400 μL (depending on sample size) 1% H2O2 in 0.1 M NH4OH at 80°C,"study does not publish alk / dic, only CO3; 13 h light:11 h dark",,,,,,,
2015,26,37.2,56.01,10.84,442,5.16,,,,,126,9,Uncertainty on culture B/Ca is estimated as a quadratic addition of 5% errors in culture and control measurements,,,26,7.57,0.013,1972,,,Henehan et al. (2015),Globigerinoides,ruber,white,,48,,,3 × 20–30 min treatments of 250–400 μL (depending on sample size) 1% H2O2 in 0.1 M NH4OH at 80°C,"study does not publish alk / dic, only CO3; 13 h light:11 h dark",,,,,,,
2015,27,32,48.18,9.33,3803,5.16,,,,,5230,2120,2x standard deviation of inter-individal variation,,,27,8.12,,2501,,,Kaczmarek et al. (2015),Amphistegina,lessonii,,ph_8.1_160,50,,,"bleached in NaOCl (active chlorine: 4.6 %) for 6 hours, rinsed four times using de-ionized water, and dried for 12 h at 50°C.",,,,,,,,
2015,27,32,48.18,9.33,3803,5.16,,,,,2950,1060,2x standard deviation of inter-individal variation,,,27,8.11,,3232,,,Kaczmarek et al. (2015),Amphistegina,lessonii,,pH_8.1_260,41,,,"bleached in NaOCl (active chlorine: 4.6 %) for 6 hours, rinsed four times using de-ionized water, and dried for 12 h at 50°C.",,,,,,,,
2015,27,32,48.18,9.33,3803,5.16,,,,,1750,220,2x standard deviation of inter-individal variation,,,27,8.14,,5626,,,Kaczmarek et al. (2015),Amphistegina,lessonii,,pH_8.1_540,15,,,"bleached in NaOCl (active chlorine: 4.6 %) for 6 hours, rinsed four times using de-ionized water, and dried for 12 h at 50°C.",,,,,,,,
2015,27,32,48.18,9.33,3803,5.16,,,,,1580,240,2x standard deviation of inter-individal variation,,,27,8.11,,7392,,,Kaczmarek et al. (2015),Amphistegina,lessonii,,pH_8.1_640,12,,,"bleached in NaOCl (active chlorine: 4.6 %) for 6 hours, rinsed four times using de-ionized water, and dried for 12 h at 50°C.",,,,,,,,
2015,27,32,48.18,9.33,3803,5.16,,,,,6360,2600,2x standard deviation of inter-individal variation,,,27,8.56,,5387,,,Kaczmarek et al. (2015),Amphistegina,lessonii,,pH_8.6_640,12,,,"bleached in NaOCl (active chlorine: 4.6 %) for 6 hours, rinsed four times using de-ionized water, and dried for 12 h at 50°C.",,,,,,,,
2015,27,32,48.18,9.33,3803,5.16,,,,,1200,160,2x standard deviation of inter-individal variation,,,27,7.86,,4691,,,Kaczmarek et al. (2015),Amphistegina,lessonii,,pH_7.9_260,11,,,"bleached in NaOCl (active chlorine: 4.6 %) for 6 hours, rinsed four times using de-ionized water, and dried for 12 h at 50°C.",,,,,,,,
